"Date","Customer.code","Item.code","Units"
"2015-01-24","C3714","I33",3.12
"2015-02-04","C3714","I12",30.37
"2015-02-04","C3714","I33",4.8
"2015-02-04","C3714","I14",1.98
"2015-03-08","C3714","I14",2.47
"2015-03-28","C3714","I29",5.48
"2015-03-28","C3714","I12",40.44
"2015-03-28","C3714","I4",50.07
"2015-03-28","C3714","I14",5.06
"2015-04-11","C3714","I6",0.88
"2015-04-23","C3714","I11",2
"2015-04-23","C3714","I18",28.92
"2015-04-23","C3714","I16",3.95
"2015-04-23","C3714","I17",1.29
"2015-04-23","C3714","I31",0.7
