"Date","Customer.code","Item.code","Units"
"2014-10-21","C4512","I9",5.88
"2015-02-14","C4512","I18",67.69
"2015-02-14","C4512","I25",13.22
"2015-02-14","C4512","I33",6.38
"2015-03-21","C4512","I9",16.29
"2015-03-21","C4512","I11",29.98
"2015-03-21","C4512","I8",0
"2015-10-08","C4512","I18",12.07
"2015-10-08","C4512","I15",3.48
"2015-10-08","C4512","I29",3.65
"2015-10-08","C4512","I33",2.45
"2015-10-08","C4512","I4",56.67
"2015-10-08","C4512","I4",20.2
"2015-11-12","C4512","I7",4.25
"2015-11-12","C4512","I7",4.07
"2015-11-12","C4512","I6",0.78
"2016-04-20","C4512","I9",9.99
"2016-05-09","C4512","I14",4.15
"2016-05-09","C4512","I14",3.31
"2016-07-20","C4512","I11",6.19
"2016-08-11","C4512","I8",0
"2016-08-15","C4512","I12",43.01
"2016-08-15","C4512","I14",4.1
"2016-08-15","C4512","I14",1.76
"2016-08-15","C4512","I8",0
