"Date","Customer.code","Item.code","Units"
"2014-04-23","C2169","I4",33.7
"2014-05-07","C2169","I3",0.15
"2014-05-19","C2169","I25",7.58
"2014-06-08","C2169","I34",40
"2014-06-29","C2169","I30",1.54
"2014-12-11","C2169","I8",0
"2014-12-27","C2169","I4",25.61
"2014-12-27","C2169","I18",13.43
"2015-02-01","C2169","I10",0.99
"2015-02-07","C2169","I11",10
"2015-02-07","C2169","I11",10
"2015-02-07","C2169","I11",10
"2015-10-24","C2169","I17",0.35
"2015-12-14","C2169","I9",7.52
"2016-02-04","C2169","I19",0
"2016-02-23","C2169","I11",0.81
