"Date","Customer.code","Item.code","Units"
"2014-04-02","C2774","I6",1.42
"2014-04-02","C4034","I6",1.46
"2014-04-03","C2813","I6",1.22
"2014-04-06","C830","I6",1.04
"2014-04-12","C3720","I6",2.05
"2014-04-15","C4749","I6",1.21
"2014-04-23","C1278","I6",1
"2014-04-25","C3475","I6",0.56
"2014-04-25","C1176","I6",1.87
"2014-04-30","C2377","I6",2.38
"2014-05-02","C2557","I6",2.48
"2014-05-02","C1054","I6",3.48
"2014-05-06","C4093","I6",0.98
"2014-05-07","C4302","I6",1.16
"2014-05-08","C3296","I6",0.57
"2014-05-08","C4911","I6",1
"2014-05-10","C5156","I6",1.92
"2014-05-15","C2744","I6",3.47
"2014-05-23","C4859","I6",1.2
"2014-05-31","C5682","I6",2.08
"2014-06-08","C1800","I6",1.42
"2014-06-11","C710","I6",2.17
"2014-06-17","C4883","I6",1.83
"2014-06-17","C4105","I6",1.53
"2014-06-21","C1762","I6",0.7
"2014-06-26","C4349","I6",0.55
"2014-06-26","C2509","I6",0.55
"2014-06-29","C327","I6",0.59
"2014-07-20","C1414","I6",1.45
"2014-08-02","C3428","I6",2.99
"2014-08-03","C17","I6",2.27
"2014-08-06","C4993","I6",1.58
"2014-08-12","C2740","I6",1.14
"2014-08-16","C2299","I6",1.01
"2014-08-16","C5190","I6",0.91
"2014-08-16","C4325","I6",1.22
"2014-08-17","C1402","I6",4.49
"2014-08-17","C3123","I6",1.59
"2014-08-20","C2763","I6",1.53
"2014-09-01","C4972","I6",2
"2014-09-04","C133","I6",1.66
"2014-09-05","C325","I6",2.5
"2014-09-10","C335","I6",0.89
"2014-09-14","C4713","I6",0.6
"2014-09-21","C1758","I6",1.43
"2014-09-24","C1717","I6",1.39
"2014-09-28","C5631","I6",1.72
"2014-10-03","C1758","I6",5.06
"2014-10-03","C1095","I6",2.11
"2014-10-03","C1095","I6",1.57
"2014-10-03","C2105","I6",2.88
"2014-10-06","C1892","I6",1.61
"2014-10-20","C3525","I6",2.42
"2014-10-22","C4421","I6",1.52
"2014-10-22","C5631","I6",2
"2014-10-28","C1280","I6",1.95
"2014-10-29","C3658","I6",1.2
"2014-10-30","C5650","I6",3.68
"2014-11-10","C21","I6",2.03
"2014-11-10","C4596","I6",1.68
"2014-11-11","C4497","I6",1.5
"2014-11-12","C1616","I6",2.53
"2014-11-13","C14","I6",8.83
"2014-11-17","C3960","I6",1.67
"2014-11-23","C5071","I6",3
"2014-11-23","C2398","I6",0.91
"2014-11-25","C4069","I6",1.24
"2014-12-17","C1703","I6",1.75
"2014-12-21","C4279","I6",0.66
"2014-12-22","C762","I6",0.88
"2014-12-22","C1609","I6",0.85
"2014-12-25","C534","I6",0.72
"2014-12-27","C1182","I6",1.06
"2014-12-27","C3101","I6",1.11
"2014-12-28","C2935","I6",0.89
"2014-12-28","C844","I6",1.88
"2014-12-28","C3702","I6",0.56
"2014-12-28","C997","I6",0.9
"2015-01-03","C2609","I6",0.7
"2015-01-05","C4386","I6",1.96
"2015-01-10","C4847","I6",0.79
"2015-01-10","C1627","I6",0.74
"2015-01-21","C1601","I6",1.87
"2015-01-22","C376","I6",1.92
"2015-01-29","C5070","I6",1.1
"2015-02-03","C3710","I6",0.9
"2015-02-04","C3945","I6",1.66
"2015-02-07","C5028","I6",0.6
"2015-02-08","C2847","I6",0.6
"2015-02-08","C4903","I6",1.7
"2015-02-12","C1922","I6",0.59
"2015-02-13","C669","I6",1.05
"2015-02-13","C4263","I6",0.75
"2015-02-14","C3723","I6",0.88
"2015-02-15","C160","I6",4.51
"2015-02-15","C2844","I6",1.05
"2015-02-22","C2291","I6",0.7
"2015-02-22","C2552","I6",1.7
"2015-02-28","C5577","I6",0.75
"2015-02-28","C5577","I6",0.76
"2015-03-02","C3087","I6",1.54
"2015-03-02","C1323","I6",5.02
"2015-03-04","C4596","I6",1.78
"2015-03-09","C3736","I6",1.05
"2015-03-12","C4704","I6",0.83
"2015-03-15","C3720","I6",2
"2015-03-15","C5671","I6",0.6
"2015-03-21","C3939","I6",0.58
"2015-03-21","C3003","I6",0.6
"2015-03-21","C3225","I6",1.08
"2015-03-21","C1075","I6",1.41
"2015-03-23","C95","I6",0.62
"2015-03-25","C4040","I6",0.77
"2015-03-26","C648","I6",2.13
"2015-04-02","C3103","I6",0.7
"2015-04-02","C2540","I6",0.64
"2015-04-11","C4801","I6",0.61
"2015-04-11","C3714","I6",0.88
"2015-04-12","C4949","I6",0.85
"2015-04-16","C277","I6",5.85
"2015-04-16","C4529","I6",0.6
"2015-04-19","C1663","I6",2.23
"2015-04-19","C3070","I6",0.58
"2015-04-23","C3018","I6",0.61
