"Date","Customer.code","Item.code","Units"
"2014-04-21","C1527","I25",10.65
"2014-05-04","C134","I25",8.28
"2014-05-11","C910","I25",7.39
"2014-05-19","C2169","I25",7.58
"2014-07-13","C2796","I25",5.93
"2014-07-17","C1084","I25",27.29
"2014-07-17","C1084","I25",23.06
"2014-08-24","C4474","I25",5.32
"2014-10-21","C1094","I25",3.23
"2014-10-28","C3706","I25",14.18
"2014-11-02","C3213","I25",3.81
"2014-12-15","C2560","I25",11.07
"2014-12-18","C1570","I25",23.85
"2015-02-14","C5601","I25",11.3
"2015-02-14","C4512","I25",13.22
"2015-10-25","C4283","I25",12
"2016-07-06","C2325","I25",7.95
