"Date","Customer.code","Item.code","Units"
"2014-06-08","C2404","I30",4.43
"2014-06-29","C2169","I30",1.54
"2014-07-15","C3937","I30",4.8
"2014-07-30","C2677","I30",3.06
"2014-11-13","C5484","I30",3.04
"2014-11-20","C5238","I30",2.06
"2015-01-28","C1851","I30",4.63
"2015-03-21","C4658","I30",3.22
"2015-04-27","C1870","I30",1.72
"2015-05-03","C4392","I30",2.04
"2015-05-17","C5603","I30",4.65
"2015-08-29","C3837","I30",3.12
"2015-11-07","C4963","I30",1.26
"2015-11-11","C5072","I30",0.81
"2015-12-01","C3801","I30",1.42
"2016-02-24","C2036","I30",3.75
"2016-06-12","C5583","I30",1.37
